file,title,category,category_reason,category_score,category_hits,most_frequent_words,entities,gpe,dates
AR_001.txt,Carolina Amoroso reveló el apodo que le puso a su hijo y sorprendió a Mirtha Legrand,General,fallback:General,0,,carolina;amoroso;revelo;apodo;puso;hijo;sorprendio;mirtha;legrand,Carolina Amoroso;Mirtha Legrand,,
AR_002.txt,"Alerta por el impresionante ""ojos en el cielo"", la nave que puede llevar a la Fuerza Aérea Argentina a convertirse en una potencia regional",Technology,strong_keyword:ia,1,Technology:ia,alerta;impresionante;ojos;cielo;nave;puede;llevar;fuerza;rea;argentina;convertirse;potencia,Fuerza Ae,argentina,
AR_003.txt,"Desde ser ‘chimba’ a estar ‘chimbo’, está es la palabra que los colombianos usan para todo",Technology,strong_keyword:ia,1,Technology:ia,desde;chimba;estar;chimbo;palabra;colombianos;usan;todo,,colombia,
AR_004.txt,"Enfrentamiento entre ""Hells Angels y ""Los Tehuelches"": 13 demorados, tres heridos y armas incautadas",General,fallback:General,0,,enfrentamiento;entre;hells;angels;tehuelches;demorados;tres;heridos;armas;incautadas,Hells Angels,,
AR_005.txt,"Chimbas celebró a las madres con una feria llena de arte, cultura y emoción",Culture/Entertainment,score>=2 (5),5,"Technology:ia;Culture/Entertainment:cultura,arte,art,cultura,arte",chimbas;celebro;madres;feria;llena;arte;cultura;emocio,,,
BR_001.txt,Así es como tres países de Sudamérica apuntan a desafiar el dominio del aguacate de México,Technology,score>=2 (2),2,"Technology:ia,ai",asi;tres;pai;ses;sudame;rica;apuntan;desafiar;dominio;aguacate;xico,,mexico,
BR_002.txt,"Elecciones Bolivia 2025: el voto joven, clave para la elección del presidente",Politics,score>=2 (4),4,"Politics:presidente,elecciones,president,presidente;Technology:ia",elecciones;bolivia;voto;joven;clave;eleccio;presidente,Elecciones Bolivia,,2025
BR_003.txt,RAPT Therapeutics divulgará dados de ensaio de fase 2 para medicamento contra urticária,Technology,score>=2 (3),3,"Technology:ia,ai,dados",rapt;therapeutics;divulgara;dados;ensaio;fase;medicamento;contra;urtica;ria,,,
BR_004.txt,Bolivia elige presidente en medio de una de sus peores crisis económicas,Politics,score>=2 (3),3,"Politics:presidente,president,presidente;Technology:ia",bolivia;elige;presidente;medio;peores;crisis;econo;micas,,,
BR_005.txt,Informe revela cuál es el estado de EE.UU. más caro para tener carro,General,fallback:General,0,,informe;revela;cua;estado;caro;tener;carro,,,
CL_001.txt,Senador Coloma por dichos de Republicanos sobre Jaime Guzmán: “Hay un abuso cuando se usa un símbolo de otro partido”,Politics,score>=2 (4),4,"Politics:partido,senado,partido,senado;Technology:ai;Sports:partido;Culture/Entertainment:art",senador;coloma;dichos;republicanos;sobre;jaime;guzma;hay;abuso;cuando;usa;mbolo,Senador Coloma;Jaime Guzma,,
CL_002.txt,Con medalla bajo el brazo: Team Chile Femenino de Tenis de Mesa clasifica a Mundial de Londres 2026,Sports,score>=2 (3),3,"Technology:ia;Sports:tenis,mundial,team",medalla;bajo;brazo;team;chile;femenino;tenis;mesa;clasifica;mundial;londres,Team Chile Femenino,chile,2026
CL_003.txt,Parricidio y posterior suicidio: encuentran a un padre y sus dos hijos muertos en la RM,General,fallback:General,0,,parricidio;posterior;suicidio;encuentran;padre;dos;hijos;muertos,,,
CL_004.txt,Biministro García descarta ley corta para agilizar devoluciones por cobros excesivos en cuentas de luz,Politics,score>=2 (2),2,"Politics:ministro,ministro;Technology:ia;Culture/Entertainment:art",biministro;garci;descarta;ley;corta;agilizar;devoluciones;cobros;excesivos;cuentas;luz,Biministro Garci,,
CL_005.txt,"Trump acusó a Petro de ser ""líder del narcotráfico"": qué respondió el presidente de Colombia",Politics,score>=2 (3),3,"Politics:presidente,president,presidente;Technology:ia;Crime/Law:narcotrafico",trump;acuso;petro;der;narcotra;fico;respondio;presidente;colombia,,colombia,
CO_001.txt,El Optimilk DOJO Arena echa el cierre en un domingo lleno de emotividad,General,fallback:General,0,,optimilk;dojo;arena;echa;cierre;domingo;lleno;emotividad,,,
CO_002.txt,"Desde ser ‘chimba’ a estar ‘chimbo’, está es la palabra que los colombianos usan para todo",Technology,strong_keyword:ia,1,Technology:ia,desde;chimba;estar;chimbo;palabra;colombianos;usan;todo,,colombia,
CO_003.txt,A anciano lo sorprendieron en su cama y lo mataron a tiros en Guacamayal,Technology,strong_keyword:ia,1,Technology:ia,anciano;sorprendieron;cama;mataron;tiros;guacamayal,,,
CO_004.txt,Continúa la fecha 13 del Torneo Clausura: la agenda de los partidos del domingo,Politics,score>=2 (2),2,"Politics:partido,partido;Sports:partido;Culture/Entertainment:art",continu;fecha;torneo;clausura;agenda;partidos;domingo,Torneo Clausura,,
CO_005.txt,Fleetwood se lleva la victoria en el DP World India Championship con una exhibición de birdies,Sports,score>=2 (2),2,"Technology:ia;Sports:victoria,championship",fleetwood;lleva;victoria;world;india;championship;exhibicio;birdies,World India Championship,,
CR_001.txt,Violento tiroteo en San Sebastián cobró la vida de tres hombres,Technology,strong_keyword:ia,1,Technology:ia,violento;tiroteo;san;sebastia;cobro;vida;tres;hombres,San Sebastia,,
